,Males
268,Carlos_Clodoaldo
269,Melvin_Catterick
270,Edgar_Cloggs
271,Owen_Cauldwell
272,Maximilian_Crowdy
273,Todd_Cribb
274,Chauncy
275,Rancorous_Carpe
276,Chas
277,Amycus_Carrow
278,Jason_Charmer
279,Nick_Clegg
280,Nicolaus_Copernicus
281,John_Constable
282,Buckley_Cooper
283,Bartemius_Crouch_Senior
284,Caelan
285,Oliver_Cartwright
286,Ritchie_Coote
287,Cottismore_Croyne
288,Colin_Creevey
289,Stephen_Challock
290,Brian_Cinderford
291,Crabbe
292,Crookshanks
293,Caractacus
294,Unidentified_Committee_for_the_Disposal_of_Dangerous_Creatures_member
295,Clarke
296,Terry_Chloe
297,Haniball_Carathi
298,George_Coutas
299,Crapaud
300,Richard_Carter
301,Fergus_Cowley
302,Cook_of_The_Hanged_Man
303,Calchas
304,Reginald_Cattermole
305,Mauricius_Carneirus
306,Mark_Constantine
307,Local_Sitemap
308,Crowd_outside_bakery_in_Surrey
309,Cedric
310,Andrew_Cleveley
311,Mauricio_Carneiro
312,Chief_Warlock_of_the_Wizengamot_in_1544
313,Poderick_Crookshank
314,Charlatan
315,Iain_Claverdon
316,Chrisp
317,Stuart_Craggy
318,Crispin_Cronk
319,Poderick_Cruickshank
320,Philbert_Chivers
321,Richard_Washburn_Child
322,Michael_Corner
323,Vincent_Crabbe
324,Angus_Campbell
325,Sol_Campbell
326,Silas_Crump
327,Georges_Clemenceau
328,Winston_Churchill
329,Cadogan
330,Saul_Croaker
331,Cyclops
332,Eurig_Cadwallader
333,Jeremy_Clarkson
334,Luke_Cholderton
335,Unidentified_boy_who_attended_Charm_School
336,Arturo_Cephalopos
337,Jacturus_Cloke_III
338,Bill_Clinton
339,Gregory_Cotton
340,Calvin_Coolidge
341,Dirk_Cresswell
342,Caesar
343,Howard_Chalk
344,Dennis_Creevey
345,Chambers
346,Ben_Copper
347,Barnabas_Cuffe
348,Muldoon_Cragg
349,Lennox_Campbell
350,Horatio_Cloke
351,Gideon_Crumb
352,Calid
353,Ceremony_official
354,Cadwallader
355,Catchpole
356,Diego_Caplan
357,Herbert_Chorley
358,Count
359,Albus_Dumbledore
360,Dan
361,Harold_Dingle
362,Dominic
363,Davies
364,Vernon_Dursley
365,Dragon_keeper
366,Durmstrang_boy
367,Dennis
368,Rob_Dowson
369,Charles_Dickens
370,Rohit_Das
371,Dobby
372,Devil
373,Distractible_Douglas
374,Derek
375,Aberforth_Dumbledore
376,Dudley_Dursley
377,Ananyo_Dhillon
378,Duke_of_Wellington
379,Unidentified_Department_of_Mysteries_intern
380,Daniel_Defoe
381,Davet_Dumont
382,Ivor_Dillonsby
383,Charles_Demengeot
384,Armando_Dippet
385,Ferdinand_da_Gama
386,Dougal
387,Dark_wizard_in_Knockturn_Alley
388,Nitin_Divekar
389,Percival_Dumbledore
390,Philbert_Deverill
391,Antonin_Dolohov
392,Barnabas_Deverill
393,Count_Dracula
394,William_de_Cognac
395,Jason_Denbright
396,Troy_Duvall
397,Vincent_Davies
398,Vasily_Dimitrov
399,Bowen_Duffield
400,John_Dawlish
401,Fernando_Diaz
402,Lord_Draben
403,Chester_Davies
404,Decorative_waiter_serving_dragon_tartare
405,Elphias_Doge
406,Alistair_Darling
407,Dirk
408,Local_Sitemap
409,Drake
410,Dishevelled_Wizard
411,Eldritch_Diggory
412,Dan_Darker
413,Frank_Doyle
414,Sebastian_Daley
415,Julius_Dehoff
416,Craig_Dunn
417,Arthur_Conan_Doyle
418,Simon_Dentata
419,Vlad_Drakul
420,Brennan_Doyle
421,Dedalus_Diggle
422,Dudley
423,Dre_Head
